SpotID,Point1_X,Point1_Y,Point2_X,Point2_Y,Point3_X,Point3_Y,Point4_X,Point4_Y
SP1,0,462,71,462,71,558,0,558
SP2,0,511,116,511,116,668,0,668
SP3,69,521,222,521,222,665,69,665
SP4,113,404,180,404,180,444,113,444
SP5,170,509,331,509,331,651,170,651
SP6,192,423,319,423,319,525,192,525
SP7,313,357,389,357,389,425,313,425
SP8,316,426,418,426,418,525,316,525
SP9,298,518,449,518,449,665,298,665
SP10,365,339,411,339,411,383,365,383
SP11,391,357,464,357,464,415,391,415
SP12,424,321,479,321,479,376,424,376
SP13,414,422,501,422,501,536,414,536
SP14,405,373,570,373,570,453,405,453
SP15,460,350,516,350,516,414,460,414
SP16,457,346,531,346,531,418,457,418
SP17,462,500,587,500,587,662,462,662
SP18,534,343,599,343,599,414,534,414
SP19,547,424,638,424,638,533,547,533
SP20,619,338,679,338,679,405,619,405
SP21,617,513,750,513,750,681,617,681
SP22,666,325,722,325,722,368,666,368
SP23,651,399,758,399,758,525,651,525
SP24,682,340,744,340,744,400,682,400
SP25,737,497,900,497,900,650,737,650
SP34,1167,343,1226,343,1226,376,1167,376
SP37,1186,483,1279,483,1279,546,1186,546
SP38,947,345,911,380,972,374,978,399
SP39,983,356,938,346,809,354,831,416
SP40,923,421,974,393,1013,332,919,257
SP41,786,264,770,311,772,411,816,444
SP42,993,457,1019,455,1042,404,986,345
SP43,905,291,881,291,821,318,796,353
SP44,921,469,1059,481,1083,466,1151,364
SP45,872,321,816,345,824,417,848,503
SP46,939,476,1006,431,829,337,494,467
SP47,709,494,1016,489,962,279,679,290
